Algorithm,InputType,InputSize,RuntimeSeconds
deterministic,random,1000,0.0005636584013700485
deterministic,random,2000,0.0012447082437574864
deterministic,random,4000,0.0025741250021383165
deterministic,random,8000,0.0056009582243859764
deterministic,random,16000,0.01255950815975666
deterministic,reversed,1000,0.014906491572037339
deterministic,reversed,2000,0.060725750192068516
deterministic,reversed,4000,0.24483677521348
deterministic,reversed,8000,1.0549595915945247
deterministic,reversed,16000,4.040565941808746
deterministic,sorted,1000,0.018971391813829543
deterministic,sorted,2000,0.08034308378119022
deterministic,sorted,4000,0.3339671164052561
deterministic,sorted,8000,1.4474743084050714
deterministic,sorted,16000,5.732575900200755
randomized,random,1000,0.0008008247939869761
randomized,random,2000,0.0016600916162133217
randomized,random,4000,0.0035309997852891683
randomized,random,8000,0.007587600173428655
randomized,random,16000,0.015906699979677797
randomized,reversed,1000,0.0007257999852299691
randomized,reversed,2000,0.0014891079859808086
randomized,reversed,4000,0.00327199196908623
randomized,reversed,8000,0.007506616809405386
randomized,reversed,16000,0.014896733406931161
randomized,sorted,1000,0.0006691164104267955
randomized,sorted,2000,0.0015361416153609753
randomized,sorted,4000,0.0032653912203386426
randomized,sorted,8000,0.0073227002285420895
randomized,sorted,16000,0.014749666582792998
